Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2024-1-29 13:5:49.345	0.0039	-0.0005	1.002	0.0	0.0	0.0	0.33	-1.566	51.52	23.61	1223	967	-2508	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.345	0.0039	-0.0005	1.002	0.0	0.0	0.0	0.33	-1.566	51.52	23.61	1223	967	-2508	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.350	0.0063	0.0005	0.9985	0.0	0.0	0.0	0.33	-1.566	51.52	23.54	1224	967	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.350	0.0063	0.0005	0.9985	0.0	0.0	0.0	0.33	-1.566	51.52	23.54	1224	967	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.355	0.002	0.0005	0.9995	0.0	0.0	0.0	0.33	-1.566	51.52	23.73	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.355	0.002	0.0005	0.9995	0.0	0.0	0.0	0.33	-1.566	51.52	23.73	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.360	0.0049	0.0	1.002	0.0	0.0	0.0	0.33	-1.566	51.52	23.8	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.360	0.0049	0.0	1.002	0.0	0.0	0.0	0.33	-1.566	51.52	23.8	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.365	0.0044	0.001	0.999	0.0	0.0	0.0	0.33	-1.566	51.52	23.54	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.365	0.0044	0.001	0.999	0.0	0.0	0.0	0.33	-1.566	51.52	23.54	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
 2024-1-29 13:5:49.370	0.0034	0.002	0.998	0.0	0.0	0.0	0.33	-1.566	51.52	23.42	1223	966	-2507	None	None	None	None	-0.90057	-0.00122	0.00186	-0.43457
