Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2024-1-29 13:12:54.790	0.0034	0.0005	0.9976	0.0	0.0	0.0	0.319	-1.566	51.52	23.61	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.790	0.0034	0.0005	0.9976	0.0	0.0	0.0	0.319	-1.566	51.52	23.61	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.795	0.0034	-0.0005	0.9956	0.0	0.0	0.0	0.319	-1.566	51.52	23.61	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.795	0.0034	-0.0005	0.9956	0.0	0.0	0.0	0.319	-1.566	51.52	23.61	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.800	0.0024	-0.0015	0.999	0.0	0.0	0.0	0.319	-1.566	51.52	23.73	1222	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.800	0.0024	-0.0015	0.999	0.0	0.0	0.0	0.319	-1.566	51.52	23.73	1222	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.805	0.0039	0.0	0.9995	0.0	0.0	0.0	0.319	-1.566	51.52	23.73	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.805	0.0039	0.0	0.9995	0.0	0.0	0.0	0.319	-1.566	51.52	23.73	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.810	0.0063	0.0024	0.9995	0.0	0.0	0.0	0.319	-1.566	51.52	23.67	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.810	0.0063	0.0024	0.9995	0.0	0.0	0.0	0.319	-1.566	51.52	23.67	1223	967	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.815	0.0078	0.001	1.001	0.0	0.0	0.0	0.319	-1.566	51.52	23.8	1223	966	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.815	0.0078	0.001	1.001	0.0	0.0	0.0	0.319	-1.566	51.52	23.8	1223	966	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
 2024-1-29 13:12:54.820	0.0054	0.002	1.0005	0.0	0.0	0.0	0.319	-1.566	51.52	23.67	1223	966	-2506	None	None	None	None	-0.90057	-0.00116	0.00189	-0.43457
